"ActivityName";"Subject";"temp.Mean";"temp.StandardDeviation"
"WALKING";"10";-0.3270868; 0.4595261
"WALKING_UPSTAIRS";"10";-0.3456526; 0.4633323
"WALKING_DOWNSTAIRS";"10";-0.2631621; 0.4643776
"SITTING";"10";-0.6400786; 0.5423851
"STANDING";"10";-0.6308865; 0.5269571
"LAYING";"10";-0.6336063; 0.5387357
"WALKING";"12";-0.3555602; 0.4660779
"WALKING_UPSTAIRS";"12";-0.4217916; 0.4799915
"WALKING_DOWNSTAIRS";"12";-0.3114904; 0.4830575
"SITTING";"12";-0.6363018; 0.5261420
"STANDING";"12";-0.6276840; 0.5306174
"LAYING";"12";-0.6301292; 0.5290199
"WALKING";"13";-0.3169888; 0.4610224
"WALKING_UPSTAIRS";"13";-0.4115821; 0.4817708
"WALKING_DOWNSTAIRS";"13";-0.3172347; 0.4645543
"SITTING";"13";-0.6381791; 0.5433018
"STANDING";"13";-0.6392977; 0.5349948
"LAYING";"13";-0.6243379; 0.5536500
"WALKING";"18";-0.4363061; 0.4738929
"WALKING_UPSTAIRS";"18";-0.4706815; 0.4898583
"WALKING_DOWNSTAIRS";"18";-0.4386638; 0.4847136
"SITTING";"18";-0.6502402; 0.5340711
"STANDING";"18";-0.6455185; 0.5307076
"LAYING";"18";-0.6450399; 0.5395970
"WALKING";"2";-0.3857081; 0.4724806
"WALKING_UPSTAIRS";"2";-0.3639833; 0.4669865
"WALKING_DOWNSTAIRS";"2";-0.2596773; 0.4689699
"SITTING";"2";-0.6405979; 0.5369032
"STANDING";"2";-0.6364550; 0.5361218
"LAYING";"2";-0.6399738; 0.5431910
"WALKING";"20";-0.2595181; 0.4606946
"WALKING_UPSTAIRS";"20";-0.3382919; 0.4682436
"WALKING_DOWNSTAIRS";"20";-0.2471697; 0.4732283
"SITTING";"20";-0.6398727; 0.5277649
"STANDING";"20";-0.6200277; 0.5241500
"LAYING";"20";-0.6443974; 0.5326414
"WALKING";"24";-0.4169752; 0.4738996
"WALKING_UPSTAIRS";"24";-0.4358383; 0.4741479
"WALKING_DOWNSTAIRS";"24";-0.3590860; 0.4735558
"SITTING";"24";-0.6466195; 0.5267495
"STANDING";"24";-0.6341949; 0.5333729
"LAYING";"24";-0.6342034; 0.5415305
"WALKING";"4";-0.4305566; 0.4854289
"WALKING_UPSTAIRS";"4";-0.4152604; 0.4827056
"WALKING_DOWNSTAIRS";"4";-0.3637904; 0.4871292
"SITTING";"4";-0.6270750; 0.5308630
"STANDING";"4";-0.6185838; 0.5309515
"LAYING";"4";-0.6308751; 0.5395525
"WALKING";"9";-0.3716466; 0.4677837
"WALKING_UPSTAIRS";"9";-0.4270754; 0.4811362
"WALKING_DOWNSTAIRS";"9";-0.3131407; 0.4777901
"SITTING";"9";-0.6275308; 0.5256858
"STANDING";"9";-0.6337136; 0.5262485
"LAYING";"9";-0.6284140; 0.5302036
"WALKING";"1";-0.3191058; 0.4532112
"WALKING_UPSTAIRS";"1";-0.4069966; 0.4848585
"WALKING_DOWNSTAIRS";"1";-0.2972263; 0.4567712
"SITTING";"1";-0.6334052; 0.5467527
"STANDING";"1";-0.6474248; 0.5420029
"LAYING";"1";-0.6075224; 0.5462694
"WALKING";"11";-0.4313665; 0.4778849
"WALKING_UPSTAIRS";"11";-0.4352751; 0.4944676
"WALKING_DOWNSTAIRS";"11";-0.3487174; 0.4774548
"SITTING";"11";-0.6360816; 0.5361382
"STANDING";"11";-0.6483745; 0.5359074
"LAYING";"11";-0.6435530; 0.5397812
"WALKING";"14";-0.3855018; 0.4603303
"WALKING_UPSTAIRS";"14";-0.2854864; 0.5133342
"WALKING_DOWNSTAIRS";"14";-0.2033784; 0.4805153
"SITTING";"14";-0.6399308; 0.5283568
"STANDING";"14";-0.6337711; 0.5306302
"LAYING";"14";-0.6283556; 0.5317816
"WALKING";"15";-0.3905263; 0.4712707
"WALKING_UPSTAIRS";"15";-0.3937209; 0.4815633
"WALKING_DOWNSTAIRS";"15";-0.2802273; 0.4800069
"SITTING";"15";-0.6414962; 0.5372865
"STANDING";"15";-0.6400371; 0.5319073
"LAYING";"15";-0.6398831; 0.5316454
"WALKING";"16";-0.4313628; 0.4771052
"WALKING_UPSTAIRS";"16";-0.4401465; 0.4853177
"WALKING_DOWNSTAIRS";"16";-0.3390803; 0.4809373
"SITTING";"16";-0.6422540; 0.5409258
"STANDING";"16";-0.6465384; 0.5359477
"LAYING";"16";-0.6359061; 0.5406301
"WALKING";"17";-0.3870395; 0.4711347
"WALKING_UPSTAIRS";"17";-0.4014314; 0.4796260
"WALKING_DOWNSTAIRS";"17";-0.3651945; 0.4838472
"SITTING";"17";-0.6437074; 0.5469050
"STANDING";"17";-0.6446751; 0.5411901
"LAYING";"17";-0.6298764; 0.5441688
"WALKING";"19";-0.2382528; 0.4447198
"WALKING_UPSTAIRS";"19";-0.3168211; 0.4604860
"WALKING_DOWNSTAIRS";"19";-0.0783064; 0.5093641
"SITTING";"19";-0.6389867; 0.5320311
"STANDING";"19";-0.6401367; 0.5310680
"LAYING";"19";-0.6329992; 0.5464173
"WALKING";"21";-0.3306487; 0.4627804
"WALKING_UPSTAIRS";"21";-0.3819670; 0.4741558
"WALKING_DOWNSTAIRS";"21";-0.2913020; 0.4762733
"SITTING";"21";-0.6447245; 0.5340412
"STANDING";"21";-0.6384502; 0.5282463
"LAYING";"21";-0.6311088; 0.5435357
"WALKING";"22";-0.2742010; 0.4602239
"WALKING_UPSTAIRS";"22";-0.3051855; 0.4694426
"WALKING_DOWNSTAIRS";"22";-0.2876648; 0.4775273
"SITTING";"22";-0.6340156; 0.5322946
"STANDING";"22";-0.6359921; 0.5300356
"LAYING";"22";-0.6321091; 0.5349653
"WALKING";"23";-0.2652967; 0.4657923
"WALKING_UPSTAIRS";"23";-0.3695813; 0.4674224
"WALKING_DOWNSTAIRS";"23";-0.2024655; 0.4609875
"SITTING";"23";-0.6328435; 0.5432509
"STANDING";"23";-0.6370242; 0.5308706
"LAYING";"23";-0.6280895; 0.5513188
"WALKING";"25";-0.4608421; 0.4825967
"WALKING_UPSTAIRS";"25";-0.4855122; 0.4931161
"WALKING_DOWNSTAIRS";"25";-0.4299244; 0.4808547
"SITTING";"25";-0.6453075; 0.5340773
"STANDING";"25";-0.6452980; 0.5284564
"LAYING";"25";-0.5895067; 0.5472323
"WALKING";"26";-0.3920088; 0.4651253
"WALKING_UPSTAIRS";"26";-0.4116728; 0.4801894
"WALKING_DOWNSTAIRS";"26";-0.3224731; 0.4681099
"SITTING";"26";-0.6427185; 0.5383345
"STANDING";"26";-0.6440045; 0.5336004
"LAYING";"26";-0.6406799; 0.5454455
"WALKING";"27";-0.3777713; 0.4683952
"WALKING_UPSTAIRS";"27";-0.4262671; 0.4865415
"WALKING_DOWNSTAIRS";"27";-0.3124461; 0.4755319
"SITTING";"27";-0.6473298; 0.5338173
"STANDING";"27";-0.6443562; 0.5348983
"LAYING";"27";-0.6459936; 0.5397483
"WALKING";"28";-0.3937873; 0.4686588
"WALKING_UPSTAIRS";"28";-0.4010930; 0.4738688
"WALKING_DOWNSTAIRS";"28";-0.2916509; 0.4651230
"SITTING";"28";-0.6373225; 0.5234035
"STANDING";"28";-0.6278835; 0.5201506
"LAYING";"28";-0.6405187; 0.5312341
"WALKING";"29";-0.3528949; 0.4598401
"WALKING_UPSTAIRS";"29";-0.3644297; 0.4852592
"WALKING_DOWNSTAIRS";"29";-0.3172628; 0.4673988
"SITTING";"29";-0.6441007; 0.5401195
"STANDING";"29";-0.6502453; 0.5358866
"LAYING";"29";-0.6463247; 0.5471267
"WALKING";"3";-0.3868659; 0.4709511
"WALKING_UPSTAIRS";"3";-0.4242747; 0.4835657
"WALKING_DOWNSTAIRS";"3";-0.3505361; 0.4743127
"SITTING";"3";-0.6227808; 0.5365559
"STANDING";"3";-0.6268247; 0.5243314
"LAYING";"3";-0.6414458; 0.5312642
"WALKING";"30";-0.3736075; 0.4593386
"WALKING_UPSTAIRS";"30";-0.4393707; 0.4905504
"WALKING_DOWNSTAIRS";"30";-0.3587906; 0.4668052
"SITTING";"30";-0.6460179; 0.5329100
"STANDING";"30";-0.6306355; 0.5279327
"LAYING";"30";-0.6426253; 0.5291124
